,v_Acc,v_Vel,Global_X,Global_Y
79,-1.48,39.33,6451824.778,1872642.416
80,0.0,20.0,6451144.65,1873285.171
81,0.09,53.98,6452105.73,1872383.221
82,6.5,21.17,6451181.012,1873245.153
83,11.2,29.92,6451415.307,1873014.23
84,-1.45,44.5,6452049.141,1872456.213
85,0.13,34.19,6451723.738,1872742.506
86,1.53,39.93,6451824.512,1872654.544
87,0.42,29.3,6451746.451,1872723.474
88,0.0,40.0,6451848.608,1872633.488
89,-0.24,30.29,6451352.401,1873069.417
90,0.0,25.76,6451395.758,1873031.929
91,0.0,34.12,6451554.319,1872890.707
92,2.05,30.1,6451768.964,1872703.65
93,-0.14,22.31,6451220.617,1873202.778
94,0.0,20.0,6451162.126,1873265.92
95,-8.68,24.31,6451266.039,1873155.757
96,0.0,25.76,6451399.556,1873028.449
97,-3.09,28.05,6451238.902,1873181.539
98,-11.2,55.93,6452314.746,1872224.607
99,2.65,31.38,6451420.024,1873010.095
100,-0.16,22.32,6451219.091,1873204.409
101,8.48,53.21,6452078.418,1872409.482
102,-0.29,32.27,6451463.052,1872968.509
103,1.93,54.57,6452230.807,1872297.088
104,10.4,61.34,6452464.245,1872090.263
105,6.63,31.16,6451662.059,1872795.445
106,3.91,28.89,6451738.258,1872731.823
107,1.68,24.28,6451699.993,1872764.251
108,0.0,25.0,6451160.622,1873265.771
109,4.51,37.9,6451776.427,1872694.967
110,0.0,40.0,6451919.391,1872571.635
111,0.08,32.28,6451458.23,1872972.8
112,0.0,27.67,6451627.611,1872825.327
113,11.2,44.3,6451997.956,1872502.864
114,6.99,46.38,6451886.205,1872583.15
115,0.0,60.0,6452573.735,1871995.429
116,-0.25,25.23,6451212.841,1873208.083
117,2.64,33.86,6451485.549,1872951.353
118,-0.24,25.96,6451276.346,1873142.041
119,-0.25,49.98,6452166.485,1872353.421
120,0.0,20.0,6451167.503,1873259.997
121,0.0,25.75,6451322.51,1873097.305
122,0.0,40.0,6451961.56,1872534.786
123,-0.18,22.36,6451187.049,1873238.664
124,0.0,27.67,6451642.169,1872812.553
125,0.0,29.99,6451699.836,1872762.822
126,2.5,25.37,6451214.539,1873206.214
127,6.59,36.56,6451768.04,1872702.402
128,-2.81,39.67,6451803.732,1872666.202
129,0.0,20.0,6451160.782,1873267.401
130,0.0,30.99,6451528.229,1872911.477
131,-0.1,32.16,6451573.264,1872872.809
132,0.0,60.0,6452583.125,1871987.957
133,0.0,25.76,6451388.161,1873038.89
134,4.59,25.28,6451291.105,1873127.997
135,-11.2,23.9,6451197.567,1873224.909
136,1.85,30.06,6451495.669,1872939.85
137,0.0,29.99,6451405.261,1873021.322
138,0.0,25.76,6451384.363,1873042.37
139,1.85,45.06,6451923.794,1872548.56
140,-0.54,24.95,6451182.474,1873241.709
141,-5.45,30.57,6451686.081,1872774.411
142,-0.17,25.68,6451235.663,1873187.048
143,-3.68,39.07,6451827.413,1872639.403
144,-8.89,57.2,6452310.577,1872228.234
145,-3.74,32.84,6451541.672,1872902.16
146,-4.77,58.2,6452505.005,1872052.234
147,0.0,20.0,6451171.536,1873255.555
148,9.83,38.83,6451818.525,1872659.827
149,-10.18,49.3,6452330.373,1872210.869
150,0.0,25.0,6451123.318,1873306.864
151,0.0,25.0,6451138.441,1873290.205
152,-0.21,56.02,6452382.53,1872162.292
153,0.51,35.3,6451746.594,1872721.359
154,0.0,50.0,6452117.592,1872396.251
155,3.03,30.63,6451500.285,1872935.926
156,-2.91,48.96,6452019.113,1872461.922
157,0.0,22.34,6451212.988,1873210.934
158,0.02,32.14,6451587.743,1872860.069
159,-7.0,42.43,6451895.026,1872592.901
160,11.2,25.06,6451335.5,1873084.808
161,0.0,20.0,6451166.159,1873261.478
162,-0.11,22.34,6451188.575,1873237.033
163,6.93,56.74,6452433.012,1872117.359
164,-0.02,24.53,6451668.073,1872790.879
165,-0.07,39.97,6451863.668,1872620.327
166,0.0,40.0,6451964.572,1872532.154
167,0.0,27.67,6451633.85,1872819.852
168,0.0,25.76,6451371.07,1873054.551
169,2.39,54.41,6452269.055,1872264.28
170,-1.64,25.77,6451305.391,1873115.832
171,0.02,22.33,6451211.462,1873212.565
172,0.0,55.95,6452394.928,1872150.932
173,4.29,30.33,6451471.597,1872964.78
174,-1.07,30.05,6451621.215,1872830.86
175,1.77,35.22,6451743.927,1872723.696
176,-0.44,25.9,6451302.116,1873116.987
177,-10.14,46.8,6452018.65,1872483.031
178,0.0,25.75,6451313.231,1873106.23
179,4.65,50.51,6452132.636,1872383.072
180,4.24,25.48,6451317.013,1873106.269
181,0.0,50.0,6452102.547,1872409.429
182,2.03,54.9,6452197.702,1872326.075
183,11.2,44.25,6451879.582,1872589.465
184,0.09,24.53,6451686.785,1872775.018
185,0.0,27.67,6451617.213,1872834.451
186,0.09,24.54,6451688.657,1872773.432
187,0.0,45.0,6451961.075,1872515.991
188,0.0,24.53,6451716.834,1872749.975
189,0.12,30.02,6451396.613,1873029.642
190,-5.55,24.12,6451256.523,1873163.085
191,-8.63,47.71,6452015.192,1872486.262
192,-11.2,54.34,6452004.196,1872475.704
193,0.0,25.76,6451352.079,1873071.952
194,0.0,25.76,6451376.767,1873049.331
195,-0.07,34.14,6451508.319,1872930.726
196,0.0,25.87,6451303.583,1873117.68
197,-4.63,33.35,6451515.949,1872923.95
198,-8.01,31.61,6451431.711,1872996.403
199,-3.15,45.34,6451937.355,1872536.718
200,5.15,25.04,6451315.095,1873107.907
201,11.2,31.01,6451441.354,1872987.82
202,6.28,30.53,6451771.19,1872701.683
203,8.64,25.12,6451253.549,1873168.64
204,-0.11,19.99,6451174.224,1873252.593
205,-0.07,24.53,6451664.33,1872794.052
206,-3.27,31.22,6451472.597,1872960.014
207,0.69,58.51,6452496.249,1872060.009
208,1.67,34.03,6451529.026,1872913.612
209,6.1,25.34,6451270.82,1873147.563
210,0.34,30.93,6451516.448,1872921.545
211,0.0,32.27,6451455.819,1872974.946
212,-1.81,39.86,6451801.077,1872669.226
213,0.49,35.43,6451807.597,1872669.488
214,1.36,25.08,6451189.08,1873234.258
215,5.31,20.6,6451179.597,1873246.679
216,-0.09,35.15,6451760.057,1872709.436
217,-5.85,31.22,6451614.289,1872836.762
218,0.0,55.0,6452293.962,1872242.654
219,11.2,46.13,6452001.263,1872499.776
220,1.64,25.07,6451143.482,1873284.651
221,-0.64,56.49,6452428.763,1872121.025
222,-1.63,23.37,6451259.685,1873159.621
223,0.0,45.0,6451947.521,1872527.835
224,-0.24,55.02,6452205.976,1872318.827
225,4.33,45.37,6452066.043,1872441.406
226,1.83,30.28,6451657.469,1872799.427
227,-0.14,24.97,6451141.802,1873286.502
228,0.0,25.76,6451393.858,1873033.669
229,-1.19,40.4,6451943.488,1872550.579
230,-11.2,21.03,6451199.256,1873225.614
231,-8.75,59.12,6452491.762,1872064.03
232,-0.26,55.02,6452285.655,1872249.864
233,0.35,30.29,6451375.068,1873049.347
234,0.02,34.12,6451495.673,1872942.179
235,0.0,30.99,6451530.588,1872909.465
236,0.0,54.7,6452128.281,1872359.792
237,-0.14,54.99,6452214.251,1872311.579
238,-4.02,29.59,6451416.097,1873010.905
239,0.0,25.84,6451285.503,1873136.159
240,4.54,35.39,6451791.42,1872683.801
241,0.0,30.27,6451356.934,1873065.403
242,-1.63,58.46,6452500.669,1872056.135
243,0.0,25.84,6451292.735,1873128.767
244,6.34,21.94,6451205.359,1873219.09
245,0.0,32.14,6451580.504,1872866.439
246,-6.75,31.16,6451683.748,1872776.407
247,0.0,29.99,6451407.423,1873019.242
248,11.2,42.48,6451994.755,1872505.792
249,6.38,60.53,6452459.691,1872094.195
250,0.0,24.53,6451673.687,1872786.121
251,0.0,25.0,6451113.236,1873317.97
252,0.08,25.74,6451405.253,1873023.229
253,0.0,32.14,6451582.917,1872864.315
254,0.16,35.39,6451749.306,1872718.94
255,11.2,23.79,6451251.498,1873168.639
256,0.0,25.76,6451401.455,1873026.709
257,0.0,55.0,6452210.113,1872315.203
258,0.05,31.54,6451448.721,1872985.403
259,0.09,54.02,6452086.235,1872401.941
260,0.0,25.0,6451130.039,1873299.46
261,-11.2,23.57,6451329.654,1873093.265
262,-0.06,24.53,6451707.478,1872757.906
263,0.26,25.95,6451274.511,1873143.875
264,0.0,45.0,6451957.687,1872518.952
265,3.56,25.66,6451292.945,1873126.199
266,3.52,45.32,6451927.19,1872545.601
267,0.0,30.27,6451361.468,1873061.389
268,-1.6,40.07,6451907.343,1872582.163
269,-6.62,24.84,6451195.87,1873226.779
270,-0.05,25.75,6451309.52,1873109.801
271,-6.36,30.38,6451537.664,1872903.43
272,11.2,23.89,6451202.658,1873219.301
273,0.0,25.76,6451357.776,1873066.732
274,6.29,30.53,6451711.282,1872753.174
275,0.0,30.0,6451634.809,1872819.067
276,0.0,54.7,6452120.816,1872367.661
277,0.25,34.14,6451505.79,1872933.016
278,0.0,40.0,6451833.548,1872646.648
279,-7.99,57.64,6452420.316,1872128.334
280,-11.2,50.52,6452326.673,1872214.146
281,-0.81,24.17,6451696.175,1872767.188
282,4.07,22.66,6451223.653,1873199.527
283,0.0,22.33,6451214.514,1873209.302
284,9.78,59.39,6452564.346,1872002.902
285,0.0,40.0,6451931.439,1872561.107
286,0.0,40.0,6451967.584,1872529.522
287,0.0,34.12,6451564.436,1872881.544
288,1.79,54.92,6452277.347,1872257.074
289,-1.77,32.06,6451678.949,1872780.635
290,0.0,25.76,6451355.877,1873068.472
291,11.2,47.32,6451981.452,1872498.246
292,-2.4,30.84,6451535.306,1872905.442
293,0.0,29.99,6451702.13,1872760.889
294,0.53,24.54,6451726.191,1872742.044
295,-3.83,30.06,6451436.532,1872992.112
296,-0.27,40.01,6451830.536,1872649.28
297,5.38,38.89,6451846.543,1872620.741
298,11.2,32.42,6451716.083,1872749.21
299,0.03,30.29,6451350.134,1873071.425
300,2.98,39.48,6451785.014,1872687.133
301,-5.13,25.04,6451309.102,1873112.278
302,-0.11,53.98,6452101.834,1872386.967
303,-0.04,25.87,6451320.614,1873102.504
304,-6.19,45.84,6451913.707,1872557.533
305,-1.68,45.1,6451940.744,1872533.757
306,-11.2,52.69,6452008.034,1872471.946
307,0.0,25.0,6451162.302,1873263.92
308,0.0,25.76,6451378.666,1873047.59
309,-0.72,57.95,6452509.357,1872048.384
310,-1.0,39.51,6451816.873,1872651.336
311,11.2,21.03,6451203.833,1873220.721
312,-0.02,30.27,6451368.268,1873055.368
313,-1.47,58.76,6452657.733,1871928.584
314,0.0,32.14,6451597.396,1872851.575
315,4.42,42.07,6451882.095,1872604.225
316,6.69,59.06,6452446.135,1872105.969
317,-11.2,30.89,6451592.025,1872856.507
318,0.0,30.0,6451762.221,1872709.611
319,-11.2,62.15,6452482.645,1872072.646
320,0.0,40.0,6451952.524,1872542.682
321,-5.09,31.72,6451681.368,1872778.485
322,0.02,32.14,6451599.809,1872849.452
323,0.05,27.64,6451600.576,1872849.049
324,8.11,29.83,6451422.367,1873004.879
325,-8.91,25.11,6451242.817,1873179.685
326,0.6,19.97,6451143.298,1873286.65
327,1.75,59.95,6452639.071,1871943.435
328,2.45,40.27,6451937.464,1872555.843
329,1.07,19.89,6451141.961,1873288.133
330,0.0,30.0,6451632.542,1872821.032
331,-0.5,55.96,6452390.792,1872154.724
332,3.17,24.75,6451728.053,1872740.457
333,-0.08,50.05,6452052.097,1872433.028
334,8.88,56.97,6452554.956,1872010.374
335,-0.77,35.28,6451754.789,1872714.071
336,0.0,25.67,6451239.24,1873183.367
337,-8.86,56.96,6452424.566,1872124.668
338,-0.08,49.97,6452170.246,1872350.126
339,0.19,25.96,6451278.182,1873140.207
340,0.65,20.01,6451176.913,1873249.631
341,11.2,58.78,6452629.708,1871950.908
342,1.68,40.08,6451866.68,1872617.695
343,-1.17,31.59,6451224.274,1873195.743
344,0.0,22.33,6451193.152,1873232.139
345,0.15,30.9,6451484.127,1872949.762
346,-1.87,35.19,6451757.457,1872711.734
347,11.2,49.35,6451985.014,1872495.009
348,0.0,30.27,6451354.668,1873067.41
349,-2.63,42.88,6451891.793,1872595.751
350,-5.17,36.01,6451802.309,1872674.176
351,0.08,32.15,6451602.222,1872847.328
352,0.0,27.67,6451610.974,1872839.925
353,-0.16,25.69,6451233.875,1873188.889
354,0.07,34.15,6451582.14,1872865.51
355,0.0,55.0,6452289.809,1872246.259
356,7.28,32.32,6451478.336,1872958.292
357,0.0,25.76,6451374.868,1873051.071
358,0.0,24.53,6451679.3,1872781.362
359,7.35,30.87,6451417.606,1873012.171
360,4.65,23.8,6451269.36,1873152.571
361,0.0,24.53,6451666.202,1872792.465
362,0.35,44.96,6452032.216,1872471.039
363,11.2,30.14,6451441.547,1872991.576
364,-1.21,37.84,6451835.411,1872631.073
365,0.0,20.0,6451159.437,1873268.882
366,10.7,33.63,6451778.369,1872695.391
367,3.35,31.57,6451563.624,1872881.275
368,0.21,20.25,6451248.183,1873174.162
369,0.0,53.99,6452094.029,1872394.449
370,-1.41,59.97,6452643.766,1871939.699
371,0.29,39.98,6451985.656,1872513.73
372,-3.71,23.76,6451267.731,1873154.129
373,-0.22,25.93,6451300.281,1873118.822
374,0.0,25.0,6451167.343,1873258.367
375,-11.2,23.48,6451328.077,1873091.949
376,0.15,30.14,6451655.211,1872801.382
377,-0.24,25.96,6451298.447,1873120.659
378,-2.48,54.83,6452222.525,1872304.331
379,-0.05,24.54,6451705.607,1872759.492
380,4.2,41.27,6451875.83,1872609.7
381,0.79,48.42,6452354.867,1872187.835
382,-1.6,32.17,6451465.469,1872966.358
383,8.24,48.33,6452080.098,1872429.117
384,-1.12,48.65,6452022.782,1872458.708
385,0.0,30.0,6451759.974,1872711.598
386,-2.59,49.71,6452059.634,1872426.417
387,0.69,28.22,6451234.845,1873185.468
388,0.47,29.68,6451542.382,1872899.407
389,-1.62,48.34,6452358.48,1872184.528
390,-0.31,39.45,6451819.508,1872648.362
391,-11.2,50.93,6452011.797,1872468.391
392,6.36,26.22,6451337.332,1873083.036
393,-0.37,30.02,6451398.775,1873027.562
394,0.0,27.67,6451619.293,1872832.626
395,3.48,54.21,6452113.36,1872375.541
396,-3.33,24.9,6451145.143,1873282.822
397,-0.27,25.74,6451403.354,1873024.969
398,-2.82,30.25,6451465.145,1872971.0
399,2.63,42.89,6451888.495,1872598.632
400,-0.16,24.55,6451662.459,1872795.638
401,0.0,40.0,6451857.644,1872625.591
402,0.0,25.84,6451326.038,1873096.961
403,0.0,34.12,6451556.848,1872888.416
404,-11.2,23.29,6451244.606,1873177.844
405,3.07,36.27,6451796.798,1872679.046
406,1.54,56.04,6452399.03,1872147.164
407,0.0,58.76,6452666.849,1871921.329
408,-7.81,47.79,6452030.112,1872452.236
409,0.0,25.75,6451324.366,1873095.519
410,1.9,30.88,6451549.458,1872893.372
411,2.81,39.72,6451795.712,1872675.314
412,1.6,45.07,6452062.68,1872444.352
413,-11.2,31.0,6451226.539,1873193.468
414,0.0,20.0,6451155.404,1873273.325
415,-4.32,31.71,6451611.884,1872838.825
416,5.04,31.71,6451664.421,1872793.357
417,0.0,25.84,6451280.079,1873141.703
418,7.76,25.31,6451729.934,1872738.892
419,-8.37,29.44,6451381.885,1873043.287
420,11.2,21.16,6451249.972,1873172.321
421,-3.96,33.75,6451513.351,1872926.073
422,0.13,29.99,6451625.742,1872826.927
423,0.0,25.76,6451346.382,1873077.173
424,2.29,24.71,6451313.131,1873109.455
425,-2.06,33.05,6451518.579,1872921.929
426,6.55,24.84,6451204.356,1873217.431
427,-7.34,26.96,6451652.579,1872803.424
428,0.0,25.0,6451135.08,1873293.907
429,2.64,25.9,6451407.152,1873021.488
430,1.61,49.93,6452091.264,1872419.313
431,-0.27,24.98,6451140.122,1873288.353
432,0.0,25.76,6451350.18,1873073.692
433,-2.65,22.94,6451262.831,1873156.165
434,0.0,27.67,6451604.735,1872845.399
435,0.0,40.0,6451839.572,1872641.384
436,2.64,25.78,6451272.676,1873145.709
437,9.09,28.49,6451390.188,1873035.872
438,-2.87,46.8,6451906.884,1872563.886
439,0.54,49.67,6452063.373,1872423.17
440,-0.55,32.14,6451669.268,1872789.064
441,5.31,42.54,6451885.285,1872601.456
442,8.8,24.0,6451226.837,1873196.203
443,-0.47,39.56,6451814.238,1872654.309
444,0.0,30.99,6451525.87,1872913.488
445,-1.31,40.08,6451949.512,1872545.314
446,-11.2,21.14,6451246.395,1873176.003
447,0.0,24.52,6451684.914,1872776.604
448,0.27,30.96,6451518.791,1872919.521
449,0.03,30.0,6451628.008,1872824.962
450,-9.83,28.6,6451384.046,1873041.322
451,-4.64,48.35,6452026.498,1872455.431
452,0.25,25.24,6451192.475,1873230.518
453,0.13,31.55,6451451.112,1872983.345
454,-3.65,30.05,6451379.601,1873045.333
455,0.0,40.0,6451916.379,1872574.267
456,0.0,34.12,6451561.906,1872883.835
457,1.42,35.09,6451788.819,1872686.099
458,6.18,56.89,6452243.65,1872286.035
459,11.2,23.54,6451335.072,1873087.714
460,-7.02,40.93,6451901.295,1872587.426
461,11.05,36.63,6451812.882,1872664.785
462,0.0,25.76,6451365.372,1873059.771
463,0.73,39.55,6451811.601,1872657.28
464,-2.06,29.18,6451748.747,1872721.552
465,0.0,27.67,6451625.532,1872827.152
466,-1.84,23.16,6451261.244,1873157.903
467,0.0,32.14,6451585.33,1872862.192
468,-0.07,25.76,6451340.679,1873082.387
469,6.1,32.98,6451480.69,1872955.991
470,8.44,47.5,6452076.488,1872432.282
471,0.0,25.76,6451397.657,1873030.189
472,0.0,31.53,6451429.589,1873001.864
473,3.22,29.81,6451394.451,1873031.721
474,6.18,29.92,6451544.741,1872897.395
475,4.47,35.35,6451762.658,1872707.138
476,0.0,24.53,6451671.815,1872787.707
477,10.47,45.91,6451977.996,1872501.205
478,8.96,22.21,6451331.789,1873088.379
479,-6.45,59.06,6452653.129,1871932.226
480,0.0,30.0,6451643.877,1872811.207
481,0.0,40.0,6451842.584,1872638.752
482,0.0,32.14,6451594.983,1872853.699
483,0.03,25.0,6451177.426,1873247.26
484,11.2,53.05,6452370.117,1872173.672
485,1.45,44.5,6452052.526,1872453.248
486,0.0,25.24,6451209.447,1873211.822
487,1.29,24.42,6451701.871,1872762.684
488,0.0,25.24,6451206.053,1873215.561
489,0.0,25.84,6451324.23,1873098.809
490,0.06,60.02,6452601.904,1871973.013
491,1.18,22.38,6451222.143,1873201.146
492,-0.02,25.0,6451172.385,1873252.813
493,-11.2,29.83,6451228.748,1873191.293
494,0.0,27.67,6451613.054,1872838.1
495,1.79,34.88,6451783.575,1872690.735
496,0.63,32.1,6451674.105,1872784.879
497,-1.31,24.42,6451692.393,1872770.239
498,0.0,50.0,6452125.114,1872389.662
499,-0.29,30.88,6451477.206,1872955.917
